Customer_ID,Customer_Name,Gender,DOB,City,Region_ID,Occupation,Income_Band,Customer_Segment,Join_Date
C000048,Customer 000048,Female,1983-01-22,Jaipur,R005,IT Professional,Medium,Corporate,2022-02-16
C000049,Customer 000049,Male,1991-06-07,Pune,R005,Other,Medium,Retail,2024-05-19
C000050,Customer 000050,Male,2008-02-11,Jaipur,R003,Finance,Medium,Corporate,2025-05-21
C000051,Customer 000051,Male,2015-11-21,Lucknow,R004,Healthcare,Medium,Retail,2020-02-06
C000052,Customer 000052,Female,2010-01-12,Jaipur,R005,Government Employee,Medium,Premium,2024-08-16
C000053,Customer 000053,Female,2021-02-20,Ahmedabad,R004,Healthcare,Medium,Corporate,2023-06-04
C000054,Customer 000054,Male,1994-12-08,Pune,R006,Consultant,Medium,Corporate,2024-12-15
C000055,Customer 000055,Female,2026-04-14,Faridabad,R003,Finance,Medium,Retail,2021-11-14
C000056,Customer 000056,Male,1993-06-11,Bengaluru,R006,Self Employed,Low,Retail,2022-08-12
C000057,Customer 000057,Female,2004-03-28,Gurugram,R003,Education,Medium,Corporate,2020-03-22
C000058,Customer 000058,Male,2010-05-17,Bengaluru,R006,Self Employed,Low,Retail,2020-09-20
C000059,Customer 000059,Male,2000-01-14,Gurugram,R002,Healthcare,Medium,Corporate,2021-05-06
C000060,Customer 000060,Female,1987-02-08,Kolkata,R002,Healthcare,Medium,Retail,2018-09-20
C000061,Customer 000061,Male,2001-09-14,Pune,R005,Finance,High,Retail,2022-03-06
C000062,Customer 000062,Female,1997-06-19,Faridabad,R004,Other,High,Premium,2022-04-20
C000063,Customer 000063,Female,2014-06-19,Lucknow,R006,Engineer,Low,Corporate,2021-01-22
C000064,Customer 000064,Male,1981-09-10,Pune,R003,Business Owner,Medium,Retail,2025-11-30
C000065,Customer 000065,Male,2008-01-14,Delhi,R001,Healthcare,Medium,Retail,2020-02-05
C000066,Customer 000066,Female,2008-03-02,Ahmedabad,R002,Consultant,High,Premium,2018-01-30
C000067,Customer 000067,Female,1979-10-25,Delhi,R002,Self Employed,Medium,Retail,2024-10-25
C000068,Customer 000068,Male,2003-07-21,Gurugram,R006,Education,High,Retail,2019-07-24
C000069,Customer 000069,Male,2015-05-21,Chennai,R001,Finance,Medium,Retail,2021-11-29
C000070,Customer 000070,Male,1988-03-03,Mumbai,R004,Other,High,Retail,2023-04-15
C000071,Customer 000071,Female,1998-06-23,Kolkata,R004,Engineer,Very High,Retail,2020-12-29
C000072,Customer 000072,Female,1979-06-19,Hyderabad,R004,Engineer,High,Retail,2022-10-13
C000073,Customer 000073,Female,1991-07-31,Chennai,R005,Government Employee,Medium,Corporate,2021-08-19
C000074,Customer 000074,Male,1991-03-24,Faridabad,R005,Business Owner,High,Premium,2024-01-10
C000075,Customer 000075,Male,1994-07-13,Chennai,R006,Other,Low,Retail,2020-03-10
C000076,Customer 000076,Female,2018-08-11,Pune,R001,Consultant,Low,Retail,2022-12-09
C000077,Customer 000077,Female,1998-01-03,Gurugram,R006,Self Employed,Medium,Corporate,2022-03-29
C000078,Customer 000078,Male,1992-07-21,Chennai,R003,Consultant,Very High,Retail,2021-12-27
C000079,Customer 000079,Female,2014-03-04,Mumbai,R001,Consultant,High,Premium,2019-01-06
C000080,Customer 000080,Male,1985-08-06,Chennai,R003,Business Owner,Medium,Retail,2021-12-13
C000081,Customer 000081,Male,2025-05-17,Pune,R001,Healthcare,High,Retail,2020-11-07
C000082,Customer 000082,Male,1982-04-26,Delhi,R005,Finance,Low,Retail,2024-11-18
C000083,Customer 000083,Female,2012-09-11,Chennai,R004,Consultant,Medium,Retail,2022-02-21
C000084,Customer 000084,Female,1993-08-18,Hyderabad,R002,Business Owner,Medium,Retail,2019-03-27
C000085,Customer 000085,Male,2023-07-18,Ahmedabad,R001,Consultant,Low,Retail,2023-07-03
C000086,Customer 000086,Male,1991-02-21,Ahmedabad,R001,IT Professional,Medium,Retail,2020-02-05
C000087,Customer 000087,Female,2027-11-17,Jaipur,R002,Finance,High,Corporate,2022-03-04
C000088,Customer 000088,Male,2005-09-27,Kolkata,R001,Consultant,Medium,Corporate,2024-08-02
C000089,Customer 000089,Female,1978-01-05,Mumbai,R004,Consultant,Low,Retail,2023-04-30
C000090,Customer 000090,Female,1992-01-07,Bengaluru,R006,Engineer,Medium,Retail,2025-12-30
C000091,Customer 000091,Female,1980-10-07,Mumbai,R002,Engineer,High,Retail,2020-08-18
C000092,Customer 000092,Male,1983-12-29,Jaipur,R002,Other,Very High,Corporate,2020-08-31
C000093,Customer 000093,Male,2001-01-10,Hyderabad,R004,Self Employed,High,Corporate,2023-05-25
C000094,Customer 000094,Male,2015-02-01,Gurugram,R004,Business Owner,Low,Corporate,2018-12-21
C000095,Customer 000095,Male,2017-09-20,Faridabad,R002,IT Professional,Medium,Retail,2020-10-10
C000096,Customer 000096,Female,1989-05-16,Delhi,R004,Business Owner,Medium,Retail,2022-02-07
C000097,Customer 000097,Male,1997-01-26,Bengaluru,R006,Government Employee,Medium,Corporate,2020-01-15
C000098,Customer 000098,Female,1996-12-25,Pune,R004,Self Employed,High,Premium,2018-06-09
C000099,Customer 000099,Male,2015-09-11,Pune,R006,Other,Low,Retail,2025-03-13
C000100,Customer 000100,Male,2027-04-26,Kolkata,R004,Engineer,High,Retail,2025-03-01
C000101,Customer 000101,Male,2006-04-23,Bengaluru,R002,Education,High,Retail,2019-12-03
C000102,Customer 000102,Male,1997-11-18,Pune,R001,Education,Medium,Retail,2023-11-14
C000103,Customer 000103,Male,2001-10-24,Kolkata,R003,Finance,Medium,Retail,2019-12-11
C000104,Customer 000104,Female,1979-01-15,Hyderabad,R002,Business Owner,Medium,Corporate,2023-10-02
C000105,Customer 000105,Male,1979-02-04,Bengaluru,R003,IT Professional,Medium,Premium,2021-08-28
C000106,Customer 000106,Male,2000-05-15,Hyderabad,R004,IT Professional,High,Retail,2025-10-30
C000107,Customer 000107,Male,2019-06-28,Pune,R004,Government Employee,Medium,Corporate,2018-11-12
C000108,Customer 000108,Male,2012-12-06,Ahmedabad,R001,IT Professional,High,Retail,2023-08-17
C000109,Customer 000109,Male,2028-04-27,Mumbai,R004,Self Employed,Low,Corporate,2024-12-18
C000110,Customer 000110,Female,2004-12-25,Mumbai,R003,Other,Medium,Retail,2025-09-13
C000111,Customer 000111,Male,1994-05-21,Hyderabad,R002,Education,High,Premium,2019-08-30
C000112,Customer 000112,Female,2019-05-07,Ahmedabad,R002,Self Employed,Low,Retail,2023-01-11
C000113,Customer 000113,Male,2026-11-04,Kolkata,R006,Education,Low,Retail,2025-05-16
C000114,Customer 000114,Female,1987-12-11,Delhi,R001,IT Professional,Low,Retail,2023-10-27
C000115,Customer 000115,Male,2007-11-16,Gurugram,R003,Engineer,Medium,Retail,2019-11-12
C000116,Customer 000116,Male,1991-02-26,Delhi,R004,Engineer,Medium,Retail,2021-03-05
C000117,Customer 000117,Female,2014-10-30,Lucknow,R005,Healthcare,Very High,Retail,2018-06-18
C000118,Customer 000118,Male,2020-04-09,Jaipur,R001,Government Employee,Medium,Corporate,2019-05-17
C000119,Customer 000119,Female,1994-05-29,Chennai,R001,IT Professional,Low,Premium,2022-06-27
C000120,Customer 000120,Male,1983-08-06,Faridabad,R005,Engineer,Medium,Retail,2020-08-27
C000121,Customer 000121,Female,2011-10-08,Lucknow,R002,Education,Low,Corporate,2025-01-13
C000122,Customer 000122,Female,2024-10-21,Delhi,R006,Other,Low,Corporate,2024-12-28
C000123,Customer 000123,Female,1990-06-06,Gurugram,R002,IT Professional,Medium,Corporate,2019-12-22
C000124,Customer 000124,Male,1991-08-12,Ahmedabad,R002,IT Professional,High,Retail,2023-10-01
C000125,Customer 000125,Female,2012-12-18,Mumbai,R005,Government Employee,High,Retail,2021-04-18
C000126,Customer 000126,Male,2005-05-29,Faridabad,R004,Government Employee,Low,Retail,2021-06-20
C000127,Customer 000127,Female,1987-05-08,Mumbai,R004,Business Owner,Low,Retail,2019-12-18
C000128,Customer 000128,Female,2017-06-30,Delhi,R006,Consultant,Medium,Corporate,2025-02-09
C000129,Customer 000129,Female,1997-10-22,Delhi,R006,Consultant,Medium,Corporate,2023-01-02
C000130,Customer 000130,Male,2017-08-28,Jaipur,R003,Finance,High,Corporate,2022-08-12
C000131,Customer 000131,Male,2023-07-12,Delhi,R003,Education,Medium,Retail,2020-07-28
C000132,Customer 000132,Male,2006-05-06,Hyderabad,R002,Finance,Low,Retail,2023-05-21
C000133,Customer 000133,Female,2024-12-14,Faridabad,R005,IT Professional,Medium,Retail,2023-10-15
C000134,Customer 000134,Male,1989-12-07,Pune,R006,Business Owner,High,Corporate,2025-04-07
C000135,Customer 000135,Male,2005-11-06,Chennai,R001,Engineer,Medium,Retail,2024-04-05
C000136,Customer 000136,Female,2025-10-17,Kolkata,R004,IT Professional,High,Retail,2019-02-07
C000137,Customer 000137,Female,2001-01-22,Chennai,R005,Consultant,Medium,Retail,2018-09-10
C000138,Customer 000138,Male,2001-06-24,Chennai,R006,Government Employee,High,Retail,2020-01-14
C000139,Customer 000139,Male,1991-04-16,Lucknow,R003,Healthcare,Low,Retail,2019-08-14
C000140,Customer 000140,Male,2005-06-23,Delhi,R006,Engineer,High,Premium,2023-03-13
C000141,Customer 000141,Female,2019-10-02,Hyderabad,R004,Other,High,Retail,2020-05-05
C000142,Customer 000142,Female,2009-05-23,Lucknow,R006,Engineer,Low,Corporate,2025-07-01
C000143,Customer 000143,Female,1981-06-01,Lucknow,R004,Business Owner,Medium,Premium,2023-11-25
C000144,Customer 000144,Female,1997-02-21,Pune,R005,Education,Medium,Retail,2025-10-04
C000145,Customer 000145,Female,2011-04-26,Pune,R006,Consultant,High,Premium,2019-09-19
C000146,Customer 000146,Male,1990-10-13,Ahmedabad,R006,Self Employed,High,Retail,2019-12-23
C000147,Customer 000147,Male,2021-03-12,Pune,R003,Education,High,Premium,2023-05-25
C000148,Customer 000148,Male,2013-09-20,Hyderabad,R005,Business Owner,High,Corporate,2020-09-23
C000149,Customer 000149,Female,1996-10-29,Faridabad,R001,Healthcare,Medium,Corporate,2021-04-25
C000150,Customer 000150,Female,1997-01-05,Ahmedabad,R004,Education,Medium,Retail,2018-09-24
C000151,Customer 000151,Male,2004-01-21,Bengaluru,R005,Finance,Low,Corporate,2018-06-05
C000152,Customer 000152,Male,1999-12-09,Jaipur,R005,Finance,Low,Premium,2022-08-02
C000153,Customer 000153,Male,1996-12-28,Bengaluru,R001,IT Professional,Medium,Corporate,2025-12-21
C000154,Customer 000154,Female,2005-12-09,Chennai,R005,Finance,High,Retail,2019-11-28
C000155,Customer 000155,Female,2026-06-28,Lucknow,R004,Other,High,Retail,2023-08-10
C000156,Customer 000156,Female,2004-02-19,Hyderabad,R002,IT Professional,High,Retail,2018-09-14
C000157,Customer 000157,Female,1990-09-07,Faridabad,R002,Education,Medium,Corporate,2021-03-12
C000158,Customer 000158,Female,1991-04-12,Faridabad,R003,Engineer,Medium,Retail,2026-02-15
C000159,Customer 000159,Male,2006-03-30,Ahmedabad,R001,Consultant,Medium,Premium,2023-05-14
C000160,Customer 000160,Male,2028-10-24,Bengaluru,R003,Education,Low,Retail,2020-08-10
C000161,Customer 000161,Female,1991-05-20,Lucknow,R002,Business Owner,Medium,Retail,2023-08-08
C000162,Customer 000162,Female,1997-04-09,Hyderabad,R001,Government Employee,Low,Retail,2020-08-19
C000163,Customer 000163,Male,2023-03-22,Kolkata,R005,Engineer,Low,Corporate,2020-09-03
C000164,Customer 000164,Female,1989-05-22,Kolkata,R005,Other,Medium,Retail,2018-03-08
C000165,Customer 000165,Female,1999-09-24,Kolkata,R004,Healthcare,Low,Retail,2025-02-23
C000166,Customer 000166,Male,2017-05-19,Jaipur,R006,IT Professional,Medium,Retail,2020-06-12
C000167,Customer 000167,Female,1993-03-27,Pune,R002,Government Employee,High,Corporate,2022-10-12
C000168,Customer 000168,Female,1989-10-05,Faridabad,R005,Other,High,Corporate,2019-11-27
C000169,Customer 000169,Male,1995-02-25,Jaipur,R001,Business Owner,Low,Retail,2023-02-07
C000170,Customer 000170,Female,1988-06-10,Jaipur,R006,Self Employed,Low,Retail,2024-06-05
C000171,Customer 000171,Female,2010-11-19,Hyderabad,R006,IT Professional,High,Retail,2019-03-21
C000172,Customer 000172,Male,2011-06-26,Hyderabad,R005,Self Employed,Medium,Retail,2022-12-23
C000173,Customer 000173,Male,2028-01-24,Chennai,R003,Other,High,Retail,2018-11-17
C000174,Customer 000174,Female,1995-02-10,Ahmedabad,R003,Education,Medium,Retail,2022-11-28
C000175,Customer 000175,Male,2024-12-04,Mumbai,R003,Finance,Medium,Retail,2019-09-10
C000176,Customer 000176,Male,1998-02-10,Kolkata,R006,Finance,Low,Retail,2021-05-04
C000177,Customer 000177,Female,2019-07-23,Delhi,R003,Finance,Medium,Retail,2022-10-18
C000178,Customer 000178,Male,1995-01-25,Lucknow,R003,Self Employed,High,Retail,2018-07-23
C000179,Customer 000179,Female,1994-08-30,Mumbai,R006,Self Employed,Medium,Retail,2021-01-06
C000180,Customer 000180,Male,2009-11-06,Delhi,R004,Other,High,Retail,2020-09-26
C000181,Customer 000181,Male,2012-08-12,Hyderabad,R003,Engineer,Medium,Retail,2020-07-14
C000182,Customer 000182,Female,2005-02-14,Mumbai,R004,Government Employee,High,Retail,2022-06-27
C000183,Customer 000183,Female,2001-03-08,Faridabad,R004,Engineer,Medium,Corporate,2019-06-29
C000184,Customer 000184,Female,2028-01-05,Chennai,R005,Education,Low,Retail,2018-01-21
C000185,Customer 000185,Male,1986-12-06,Kolkata,R006,Self Employed,Low,Corporate,2019-10-17
C000186,Customer 000186,Female,1979-10-24,Pune,R001,Consultant,Low,Premium,2021-09-04
C000187,Customer 000187,Female,1989-06-15,Lucknow,R003,Other,Low,Retail,2020-01-06
C000188,Customer 000188,Male,2024-09-06,Delhi,R001,Finance,High,Retail,2022-10-31
C000189,Customer 000189,Male,2005-10-22,Faridabad,R002,Education,Medium,Retail,2022-11-16
C000190,Customer 000190,Male,2008-12-18,Gurugram,R004,Other,Medium,Corporate,2022-09-25
C000191,Customer 000191,Female,2013-04-13,Kolkata,R002,Business Owner,Medium,Premium,2020-03-29
C000192,Customer 000192,Male,1991-01-25,Chennai,R004,Government Employee,Medium,Corporate,2020-03-11
C000193,Customer 000193,Male,1988-08-31,Pune,R003,Government Employee,Medium,Retail,2023-07-11
C000194,Customer 000194,Female,2015-07-17,Lucknow,R002,Healthcare,Low,Premium,2019-05-06
C000195,Customer 000195,Male,1997-02-06,Pune,R006,Government Employee,Low,Corporate,2019-01-17
C000196,Customer 000196,Male,1995-06-12,Ahmedabad,R005,Engineer,Medium,Corporate,2023-07-17
C000197,Customer 000197,Female,2024-04-11,Chennai,R002,Finance,Medium,Retail,2022-02-14
C000198,Customer 000198,Male,2029-05-25,Chennai,R004,Consultant,High,Retail,2021-03-06
C000199,Customer 000199,Female,2029-12-11,Lucknow,R006,Business Owner,Medium,Corporate,2018-10-14
C000200,Customer 000200,Female,2005-10-21,Kolkata,R004,Business Owner,Medium,Retail,2022-08-20
C000201,Customer 000201,Female,2016-08-28,Kolkata,R001,IT Professional,High,Corporate,2024-07-08
C000202,Customer 000202,Female,2022-07-26,Gurugram,R002,Education,Medium,Retail,2023-12-26
C000203,Customer 000203,Female,2006-09-14,Bengaluru,R005,Engineer,Medium,Retail,2021-03-06
C000204,Customer 000204,Male,1992-05-02,Kolkata,R003,Self Employed,Medium,Corporate,2024-06-06
C000205,Customer 000205,Female,2006-08-10,Kolkata,R001,Education,High,Retail,2024-04-07
C000206,Customer 000206,Female,2006-09-04,Ahmedabad,R002,IT Professional,Medium,Corporate,2022-06-06
C000207,Customer 000207,Female,2011-12-03,Pune,R001,Government Employee,Medium,Retail,2024-08-23
C000208,Customer 000208,Female,1990-02-14,Ahmedabad,R002,Consultant,Medium,Retail,2019-02-20
C000209,Customer 000209,Male,2015-02-19,Kolkata,R003,Government Employee,Medium,Retail,2018-09-21
C000210,Customer 000210,Male,2016-10-21,Faridabad,R003,Engineer,High,Retail,2024-12-26
C000211,Customer 000211,Male,2026-05-04,Gurugram,R005,Other,Medium,Corporate,2025-05-29
C000212,Customer 000212,Female,1978-10-25,Mumbai,R001,Government Employee,Medium,Retail,2018-03-21
C000213,Customer 000213,Male,2024-08-04,Ahmedabad,R005,Business Owner,Medium,Retail,2021-06-15
C000214,Customer 000214,Male,1978-02-20,Jaipur,R002,Other,Very High,Retail,2024-11-25
C000215,Customer 000215,Female,2013-08-13,Mumbai,R003,Finance,High,Retail,2025-08-28
C000216,Customer 000216,Female,2001-11-08,DELHI ,R003,Business Owner,Medium,Premium,2021-11-03
C000217,Customer 000217,Male,2000-04-20,Faridabad,R004,Other,Very High,Retail,2025-09-20
C000218,Customer 000218,Male,1983-10-22,Hyderabad,R004,Education,Medium,Retail,2019-06-27
C000219,Customer 000219,Male,2009-06-01,Bengaluru,R005,Education,Very High,Corporate,2019-02-03
C000220,Customer 000220,Male,2021-02-04,Delhi,R001,Education,Medium,Retail,2019-04-08
C000221,Customer 000221,Female,2023-11-04,Hyderabad,R002,Finance,Very High,Retail,2021-04-05
C000222,Customer 000222,Female,1996-08-18,Faridabad,R005,Government Employee,Low,Retail,2021-03-28
C000223,Customer 000223,Female,1990-08-22,Ahmedabad,R003,Other,High,Retail,2020-06-10
C000224,Customer 000224,Female,2019-02-24,Jaipur,R003,Education,High,Corporate,2020-10-01
C000225,Customer 000225,Female,2015-04-15,Hyderabad,R003,Consultant,High,Corporate,2023-01-30
C000226,Customer 000226,Male,1992-01-09,Faridabad,R002,Healthcare,High,Retail,2022-08-29
C000227,Customer 000227,Female,1992-01-05,Hyderabad,R005,Education,Medium,Corporate,2018-06-19
C000228,Customer 000228,Female,2027-05-09,Delhi,R002,IT Professional,Low,Retail,2024-11-21
C000229,Customer 000229,Male,2025-05-11,Kolkata,R006,IT Professional,Medium,Corporate,2020-12-12
C000230,Customer 000230,Female,1994-01-22,Bengaluru,R003,Consultant,High,Premium,2026-02-03
C000231,Customer 000231,Male,1982-03-07,Pune,R004,Business Owner,High,Retail,2022-08-26
C000232,Customer 000232,Female,2000-05-12,Faridabad,R005,Other,Medium,Retail,2024-07-10
C000233,Customer 000233,Female,1998-12-30,Jaipur,R004,Other,Medium,Retail,2023-01-18
C000234,Customer 000234,Female,1996-10-30,Gurugram,R005,Engineer,Medium,Retail,2019-09-11
C000235,Customer 000235,Male,1983-03-17,Hyderabad,R003,Engineer,High,Retail,2022-06-16
C000236,Customer 000236,Female,1986-06-09,Kolkata,R004,Self Employed,High,Retail,2024-07-27
C000237,Customer 000237,Male,2014-12-16,Pune,R004,IT Professional,Low,Retail,2021-02-12
C000238,Customer 000238,Female,2000-04-22,Gurugram,R005,Business Owner,High,Retail,2020-08-15
C000239,Customer 000239,Female,1993-09-24,Jaipur,R006,IT Professional,High,Retail,2018-05-31
C000240,Customer 000240,Male,2012-12-15,Kolkata,R006,IT Professional,Low,Retail,2025-03-24
C000241,Customer 000241,Male,2006-02-05,Kolkata,R004,Healthcare,Medium,Retail,2022-01-06
C000242,Customer 000242,Female,1980-11-23,Lucknow,R004,Consultant,Medium,Retail,2019-12-26
C000243,Customer 000243,Male,2028-04-03,Chennai,R003,Other,Medium,Retail,2024-02-01
C000244,Customer 000244,Female,2026-05-24,Kolkata,R005,Consultant,Medium,Retail,2020-11-09
C000245,Customer 000245,Female,1995-01-16,Pune,R005,Self Employed,Medium,Corporate,2022-10-20
C000246,Customer 000246,Male,2023-03-10,Bengaluru,R001,Business Owner,Medium,Corporate,2018-09-30
C000247,Customer 000247,Male,2019-06-17,Chennai,R005,Engineer,Low,Retail,2023-09-04
C000248,Customer 000248,Male,1990-09-02,Jaipur,R003,Healthcare,Medium,Corporate,2024-06-29
C000249,Customer 000249,Female,1995-03-16,Faridabad,R004,Government Employee,High,Premium,2021-01-20
C000250,Customer 000250,Male,1987-11-01,Mumbai,R001,Healthcare,Medium,Retail,2024-11-01
C000251,Customer 000251,Female,2009-05-28,Ahmedabad,R004,Healthcare,High,Retail,2018-05-05
C000252,Customer 000252,Male,1994-11-16,Jaipur,R005,Government Employee,Medium,Premium,2023-10-27
C000253,Customer 000253,Male,2004-10-21,Kolkata,R002,Self Employed,Medium,Retail,2019-06-18
C000254,Customer 000254,Male,1998-09-09,Pune,R004,Unknown,High,Retail,2025-10-01
C000255,Customer 000255,Male,2000-08-06,Hyderabad,R006,Other,Medium,Retail,2021-11-23
C000256,Customer 000256,Male,2023-06-25,Delhi,R005,Business Owner,Medium,Retail,2019-01-07
C000257,Customer 000257,Female,1995-06-07,Ahmedabad,R006,Government Employee,Very High,Retail,2025-03-07
C000258,Customer 000258,Male,2017-04-30,Jaipur,R003,Other,Medium,Retail,2021-06-13
C000259,Customer 000259,Male,2013-05-02,Lucknow,R006,Engineer,Medium,Retail,2024-02-01
C000260,Customer 000260,Female,1999-09-26,Gurugram,R005,Education,Low,Corporate,2019-02-22
C000261,Customer 000261,Female,2011-05-22,Delhi,R001,IT Professional,High,Corporate,2025-04-06
C000262,Customer 000262,Female,2021-01-18,Ahmedabad,R006,IT Professional,Medium,Premium,2023-11-04
C000263,Customer 000263,Female,1996-06-08,Bengaluru,R002,Consultant,Low,Retail,2018-03-12
C000264,Customer 000264,Male,2021-07-22,Faridabad,R002,Finance,High,Retail,2021-05-01
C000265,Customer 000265,Male,1984-10-03,Hyderabad,R002,Healthcare,Medium,Retail,2025-08-25
C000266,Customer 000266,Female,2020-11-30,Lucknow,R006,Government Employee,Very High,Retail,2020-05-31
C000267,Customer 000267,Male,1982-10-23,Ahmedabad,R003,Self Employed,Medium,Retail,2018-09-21
C000268,Customer 000268,Female,2005-10-28,Kolkata,R002,Self Employed,Medium,Retail,2023-06-30
C000269,Customer 000269,Female,2006-11-19,Ahmedabad,R004,Healthcare,Low,Retail,2025-06-12
C000270,Customer 000270,Male,2025-03-30,Pune,R003,Consultant,Medium,Retail,2018-03-30
C000271,Customer 000271,Male,2017-01-28,Pune,R005,Healthcare,Low,Premium,2023-12-12
C000272,Customer 000272,Female,1988-06-04,Pune,R001,Unknown,Medium,Retail,2026-03-08
C000273,Customer 000273,Male,2026-11-04,Jaipur,R003,Engineer,Medium,Retail,2023-04-12
C000274,Customer 000274,Female,2027-08-04,Hyderabad,R001,Finance,Medium,Corporate,2022-10-18
C000275,Customer 000275,Female,1982-05-20,Hyderabad,R003,Engineer,Very High,Retail,2023-03-07
C000276,Customer 000276,Female,1993-05-19,Gurugram,R005,Finance,Low,Premium,2024-02-23
C000277,Customer 000277,Female,1996-07-07,Jaipur,R001,Finance,Medium,Corporate,2024-05-29
C000278,Customer 000278,Male,2009-10-13,Hyderabad,R003,Engineer,Medium,Retail,2019-04-17
C000279,Customer 000279,Female,2006-12-24,Pune,R001,Healthcare,High,Premium,2024-06-24
C000280,Customer 000280,Female,2016-02-04,Pune,R002,Education,High,Corporate,2020-01-16
